hotel_name,user_name,country,room_info,no_of_nights_stayed,stay_date,traveller_type,review_title,rating,happy_review,unhappy_review,review_date,scraped_at
Ascott Raffles Place Singapore,Naseem,Australia,Cutler Suite,1.0,2023-12-01,Solo traveller,Not as good as hoped,7.0,1. Location was good2. Staff was friendly and kept my luggage while I went for a meeting after checking out3. Offered shower room after I checked out and returned to pick my luggage,"1. Not value for money2. Breakfast was very mediocre and not value for money despite it was not included in room rent and I paid extra for breakfast at the restaurant3. Hotel room and washrooms seems need renovation as furniture, door handles,washroom sanitary items etc. have gone old4. Elevator tunnel was very close to my room and its operational noise kept on waking me up whole night5. No water bottles in room for coffee making. Perhaps hotel expected to use tap water for the same. 6. Noisy AC7. No luggage transfer facility from hotel lobby to the room as normally it is provided in other good hotels8. Could not find tissue box in the room",22/12/2023,10/02/2024
Ascott Raffles Place Singapore,David,Australia,Cutler Suite,4.0,2023-11-01,Couple,Very good,8.0,Location and size of room,,13/12/2023,10/02/2024
Ascott Raffles Place Singapore,Thomas,Switzerland,Collyer Suite,6.0,2023-12-01,Family,Good,7.0,"Room was a good size, Living Room upstairs was useful and well positioned","Restaurant and food, generally, were not great",10/12/2023,10/02/2024
Ascott Raffles Place Singapore,Sofia,Mexico,Cutler Suite,2.0,2023-11-01,Couple,Superb,9.0,Very clean and good location,Lobby staff was not always there,30/11/2023,10/02/2024
Ascott Raffles Place Singapore,Amit,United Kingdom,Collyer Suite,7.0,2023-11-01,Solo traveller,Great,9.0,"Room, service, staff, breakfast, location. Proximity to office was the key","Would have been great if more veggie options were available in menu. Also, would have been great if restaurant was open on the weekend.",22/11/2023,10/02/2024
Ascott Raffles Place Singapore,Christopher,United Kingdom,Cutler Suite,3.0,2023-11-01,Solo traveller,Short stay in a suite with laundry capabilities to prepare for journey home and relax in higher comfort close to all thi,9.0,"Excellent room, location and staff",,20/11/2023,10/02/2024
Ascott Raffles Place Singapore,Alvin,Malaysia,Cutler Suite,1.0,2023-11-01,Couple,Superb,9.0,"Loation is good, value for money.",,14/11/2023,10/02/2024
Ascott Raffles Place Singapore,Sheryl,United States,Cutler Suite,2.0,2023-11-01,Couple,"Great location, wonderful staff, nice hotel",9.0,"The Ascott Raffles Singapore is a wonderful hotel. The staff is exceptionally helpful and friendly. The rooms are spacious and modern, and the kitchen facilities came in handy. We had a nice view from a high floor. (See photos.) The location was in the business district, so there weren't a lot of restaurants around there and things were pretty quiet over the weekend, but it was in a great location. We were two blocks from the market with the hawker food stalls, and the metro was right across the street.  Because we were centrally located, we were able to walk to the Gardens on the Bay, The Marina Sands, the river/bay areas,  and Chinatown.  Our flight out of Singapore was very late and we had to check out of our room around noon, but there was a nice room available for lounging, watching TV, snacking, etc. that was available to us after we checked out.  The receptionist also said we could have access to the pool and shower facilities if we needed it after check out.","There were some issues with maintenance in our room. There had been some sort of leak from the bathroom and some of the floorboards just outside the bath were buckled, making it a bit dangerous for bare feet. Also, the door trim at the bath door was rotted, probably from the leak. It may have been an isolated incident in this particular room, but these sorts of things were unsightly, unsafe, and should have been repaired, particularly in a hotel of this caliber.  The AC worked well, but there wasn't a way to turn off the fan without turning off the air conditioner completely. It would have been nice to have the automatic style AC that shuts the fan off when the room gets to the proper temperature. The bed was a bit too firm for my tastes, but otherwise the room was comfortable.",10/11/2023,10/02/2024
Ascott Raffles Place Singapore,Dr,Australia,Cutler Suite,2.0,2023-10-01,Couple,Good,7.0,Great location and large spacious rooms,Expensive,29/10/2023,10/02/2024
Ascott Raffles Place Singapore,Philip,Australia,Cutler Suite,2.0,2023-10-01,Couple,Very nice hotel in a great location,8.0,"Very clean and spacious room with good amenities and accessories in the apartment. Great location and within walking distance to the Marina, Lau Pa Sat and the river",Our room had very small windows with no view.,20/10/2023,10/02/2024
Ascott Raffles Place Singapore,Jo,Malaysia,Cutler Suite,3.0,2023-07-01,Family,Will definitely come back!,9.0,"1. Excellent location, just in front of exit i for Raffles Place Station and there's a 7-Eleven convenience store by the MRT exit. All amenities are within 5 minutes walking distance.2. Big room, spacious and quiet, although within the city center. Value for money!3. Steady internet connection.4. Full facilities : microwave, full kitchenette & washing machine (I've gotten upgrade to Brown Suite). Love the gym and communal living room too!","1. The cleaner forgot to clean the kitchen dust bin, after few days, the small dust bin started to smell.2. Worn out power sockets, no USB port for power charging.",20/09/2023,10/02/2024
Ascott Raffles Place Singapore,Nur,Singapore,Cutler Suite,2.0,2023-09-01,Family,Good,7.0,the place is clean and comfortable. Room was super spacious and cozy,sliding door of the room is spoiled cant close . the drain button of the the bathtub was loose and it fell off .,14/09/2023,10/02/2024
Ascott Raffles Place Singapore,Gyöngyi,Hungary,Cutler Suite,2.0,2023-09-01,Family,Good,7.0,Location is perfect and staff was very nice 😊Rooms are huge.,"The room is dark , ill-lit and all the corridors and rooms are stinking :( I would say it’s old smell or mold. Furnitures are shabby, bathroom tap was leaking on the side. All the hotel should be very much renovated because it is a very nice old building anyway.",13/09/2023,10/02/2024
Ascott Raffles Place Singapore,Madeleine,Australia,Cutler Suite,4.0,2023-09-01,Couple,"Excellent staff, fabulous location & great facilities make for an enjoyable & memorable stay 😊",9.0,Staff! Also location & facilities,"We have now stayed here three times since 2019 & love it, but there is a need for some maintenance on the shower room & toilets on level 2",11/09/2023,10/02/2024
Ascott Raffles Place Singapore,Marco,United Arab Emirates,Cutler Suite,1.0,2023-09-01,Couple,Very good,8.0,Location is great.,Hotel restaurant and bar closed during week end.,11/09/2023,10/02/2024
Ascott Raffles Place Singapore,Robert,Australia,Cutler Suite,2.0,2023-09-01,Couple,Great place in Singapore,9.0,Great location,Pick up drop off location a bit confusing,06/09/2023,10/02/2024
Ascott Raffles Place Singapore,Panayotova,Bulgaria,Cutler Suite,1.0,2023-09-01,Couple,Very good,8.0,Location is excellent - walking distance to marina and nxt to underground,the room was a little smelly,05/09/2023,10/02/2024
Ascott Raffles Place Singapore,Zulfadli,Singapore,Cutler Suite,1.0,2023-08-01,Family,Birthday staycation,8.0,"Staff brought us a birthday cake and sang for my daughter's birthday. Such and kind gesture. Kind and well mannered staffs.  Huge room, cosy interior.","Not as clean can find some hairs etc. Exterior areas look old.Hydraulic lift, would rather ramp. Small bedroom TV.",27/08/2023,10/02/2024
Ascott Raffles Place Singapore,Annabel,Singapore,Cutler Suite,2.0,2023-08-01,Couple,Good,7.0,Service was good and had free upgrade,"Pillow too soft, couldnt sleep well",25/08/2023,10/02/2024
Ascott Raffles Place Singapore,David,Ireland,Cutler Suite,5.0,2023-06-01,Solo traveller,Good,7.0,"Location, staff",Could use a lick of paint,18/08/2023,10/02/2024
Ascott Raffles Place Singapore,Giulia,Italy,Cutler Suite,2.0,2023-08-01,Couple,Very comfortable and great location,9.0,"Amazing location, huge room with a lot of amenities.",,14/08/2023,10/02/2024
Ascott Raffles Place Singapore,Cathleen,Australia,Cutler Suite,4.0,2023-06-01,Solo traveller,Great location and perfect for a solo traveller,9.0,Great facilities and the room was huge,Nothing,10/08/2023,10/02/2024
Ascott Raffles Place Singapore,Mal,Australia,Cutler Suite,5.0,2023-06-01,Couple,Very good,8.0,Good location within easy walking distance of major attractions,,10/08/2023,10/02/2024
Ascott Raffles Place Singapore,Seth_pc,Sweden,Cutler Suite,3.0,2023-07-01,Family,Superb,9.0,"The hotel was in a really good location, especially if you have activities around the downtown area. The falicilies are very clean and very good, and has an amazing pool. Also good to move arround by metro, since it is close to serveral metro lines.",It is on the expencive side of prices. If you stay for a short period you will probably not have time to use all areas in the room.,31/07/2023,10/02/2024
Ascott Raffles Place Singapore,John,United Kingdom,Cutler Suite,1.0,2023-07-01,Couple,A very good value hotel close to Marina Bay.,9.0,At reception Melissa was extremely helpful & provided us with a room as soon as it became available. The rooms are more like apartments with cooking & cleaning facilities. Also very close to very close walking distance to Marina Bay.,,30/07/2023,10/02/2024
Ascott Raffles Place Singapore,Nigel,South Africa,Cutler Suite,2.0,2023-07-01,Couple,"Great location, hotel needs an upgrade , pictures on site are much better than the actual. Pleasant",8.0,Location was perfect. We didn’t have breakfast,It was quite a shock that at weekends there is no bar/ restaurant or service. We couldn’t even order ice or anything!,20/07/2023,10/02/2024
Ascott Raffles Place Singapore,Asif,United Arab Emirates,Cutler Suite,2.0,2023-07-01,Solo traveller,Good,7.0,The Hotel staff was very cooperative and extended all possible assistance,,19/07/2023,10/02/2024
Ascott Raffles Place Singapore,Lindsay,New Zealand,Cutler Suite,1.0,2023-07-01,Couple,enjoyable,9.0,location,breakfast could be upgraded,16/07/2023,10/02/2024
Ascott Raffles Place Singapore,Ting,Australia,Cutler Suite,3.0,2023-07-01,Family,Good,9.0,"free upgrade to big room，provided room service, free bottle water, tea bags and coffee.",swimming pool not good enough for kids play,15/07/2023,10/02/2024
Ascott Raffles Place Singapore,Linda,New Zealand,Cutler Suite,2.0,2023-07-01,Couple,Lovely hotel in a very good location in Singapore,9.0,"Our room was comfortable and spacious, with a deck, kitchen area and washing machine/dryer and was very clean.  The bathroom was very large with a separate bath and shower.  The breakfast selection was very good and staff in the breakfast room were extremely friendly and helpful.  The location was excellent, right next to the entry the an MRT station, even though the MRT was a 10 minute walk underground from the entrance to it, it was good to be able to access the MRT system easily without getting wet on the one day it rained.",Lighting could have been better in the room but everything else was fine.,15/07/2023,10/02/2024
Ascott Raffles Place Singapore,Andrew,Australia,Cutler Suite,2.0,2023-06-01,Group,enjoyed the location and apartments. I think it is overpriced for what it is,7.0,location and size of the rooms,the time it took to have our rooms ready for check in,13/07/2023,10/02/2024
Ascott Raffles Place Singapore,Alissa,Australia,Cutler Suite,5.0,2023-07-01,Couple,"Great location, beautiful staff and clean, comfortable rooms",9.0,Staff very friendly and helpful,"No where to lay by the pool, some features quite dated",12/07/2023,10/02/2024
Ascott Raffles Place Singapore,Heidi,Switzerland,Cutler Suite,9.0,2023-06-01,Family,Superb,9.0,"The location is very central and convenient. The staff is very kind, attentive and helpful. Fully equipped, clean and spacious apartments. The 19th fl facilities are also very good. Excellent for families or someone looking for a home kind of atmosphere/alternative to hotel stay.",Nothing,30/06/2023,10/02/2024
Ascott Raffles Place Singapore,Daniele,Italy,Cutler Suite,3.0,2023-05-01,Couple,Good,7.0,"Big room central position close to MTR nice pool, staff is nice and helpfull","Room wall stained(mold?), smells old and moldy, pool deck is not for sunbath, gym have old equipment, expensive compared to real offer, the more annoying thing is the AC super loud, more than 65 decibel measured in the night from the bed. Cannot be set, is like this all the building my staff was in another room have the same problem, asked for a fix they came nothing changed (not their fault) is old building. Really cannot sleep! Shower is small compared to the bath area",30/06/2023,10/02/2024
Ascott Raffles Place Singapore,Miroslava,Slovakia,Cutler Suite,2.0,2023-06-01,Couple,"the hotel staff was absolutely amazing, they made our drinks at the bar just as we preffered and even brough the drinks",9.0,Amazing beds and pillows.,,12/06/2023,10/02/2024
Ascott Raffles Place Singapore,Ryan,South Africa,Cutler Suite,1.0,2023-05-01,Family,Superb,9.0,The staff were very accommodating allowing us to check in early and check out late. They arranged a travel cot for our child which was also very helpful. The pool is also incredible with an amazing view. The hotel is well situated  in downtown Singapore,,04/06/2023,10/02/2024
Ascott Raffles Place Singapore,Dinah,United Kingdom,Cutler Suite,2.0,2023-05-01,Couple,Superb,9.0,Location and room size,,30/05/2023,10/02/2024
Ascott Raffles Place Singapore,Hasyizah,Singapore,Cutler Suite,1.0,2023-05-01,Group,Very good,8.0,The service and the room.,"A little bit rundown, but overall good.",28/05/2023,10/02/2024
Ascott Raffles Place Singapore,Kate,Ukraine,Cutler Suite,2.0,2023-05-01,Family,We really liked it,9.0,"great location, big and clean room with everything you need nice staff, many pleasant little things for guests",lil bit old furniture and the hotel,13/05/2023,10/02/2024
Ascott Raffles Place Singapore,Van,Vietnam,Collyer Suite,1.0,2023-05-01,Family,Very good,8.0,"Check in staff was very attentive, the rooms are big, nice bathroom.",Breakfast was simple,03/05/2023,10/02/2024
Ascott Raffles Place Singapore,Chris,Hong Kong,Cutler Suite,2.0,2023-03-01,Family,nice stay for a 3 days and 2 night in Singapore for a fans meeting,8.0,the room is equipped with pretty much everything! the air con is always on with cool temperature,The location for the TV is not comfy to watch … usually is with the bed … but this one is with the sofa … and hence the size of the TV is too small…,24/04/2023,10/02/2024
Ascott Raffles Place Singapore,Visal,Cambodia,Cutler Suite,2.0,2023-04-01,Couple,Superb,9.0,good hotel that is near main sightseeing,,05/04/2023,10/02/2024
Ascott Raffles Place Singapore,Visal,Cambodia,Cutler Suite,2.0,2023-04-01,Group,Superb,9.0,Comfortable stay,,05/04/2023,10/02/2024
Ascott Raffles Place Singapore,Nur,Singapore,Cutler Suite,2.0,2023-03-01,Couple,Very big and spacious hotel,9.0,The room was affordable and big! The bathtub was amazing! All was good!,"No carpark within the building itself, so we had to grab to and fro.",02/04/2023,10/02/2024
Ascott Raffles Place Singapore,Jihan,Netherlands,Cutler Suite,1.0,2023-01-01,Family,good,8.0,we rented the suite. it was very well equipped and extremely clean. its in a walking distance from the marina bay sands and shopping centre.,the building is old and the pool is small. for the price you pay you would expect a bit more modern place and breakfast included,01/04/2023,10/02/2024
Ascott Raffles Place Singapore,Anthony,Australia,Cutler Suite,7.0,2023-03-01,Family,All in all great location to be in. We stayed in the cutler suit very spacious for our family of 4.,9.0,"Room was great, plenty of space for our family of 4. Location was also very nice, close to the nearest MRT station and a main attraction La Pau Sat.","Breakfast wasn't as great as you'd expect out of a 5 star. They are also stand alone (can't charge to room) so that might be why. The lift/accessibility rout was also very slow and difficult to navigate, so hard to operate with a pram or if you're in a wheelchair.",26/03/2023,10/02/2024
Ascott Raffles Place Singapore,Hendrikus,Netherlands,Cutler Suite,4.0,2023-03-01,Family,Very good,8.0,The location is super . Close by the metro and lake.Coffee for free in lobby and living room ( by the pool).Very clean room,"Needs really an update, renovation. The first impression is when you see the front door and the damage wallpaper inside. Not really what you expect for the money.",21/03/2023,10/02/2024
Ascott Raffles Place Singapore,Kevin,United Kingdom,Cutler Suite,2.0,2023-03-01,Family,Good choice if you require additional amenities not usually found with hotel rooms.,8.0,The location is very central for business travellers as it is right in the centre of the business district. It is close enough to the tourist areas to make it a decent choice for tourists but I think there are other options closer. The room is nice and large and I liked that we could get a room with a lot of amenities (e.g. a microwave was very helpful when getting dinner from a hawker centre to have back at the room while the kids slept). Lovely big bed and nice wet room bathroom.,The lift to access the hotel is very temperamental and dated. The whole hotel has a bit of a dated feel to it.,20/03/2023,10/02/2024
Ascott Raffles Place Singapore,Alan,Australia,Cutler Suite,2.0,2023-03-01,Couple,Very good,8.0,Staff were very helpful. We needed to check out early but store our luggage for late evening flight. We took advantage of the shower when we came to collect the luggage.,,17/03/2023,10/02/2024
Ascott Raffles Place Singapore,Dean,Australia,Cutler Suite,1.0,2023-03-01,Solo traveller,Good place to stay.,7.0,"Large rooms, clean and tidy.",Milk for coffee should be provided.,15/03/2023,10/02/2024
Ascott Raffles Place Singapore,Nathan,United States,Cutler Suite,10.0,2023-03-01,Group,Very good,8.0,Staff was friendly.,My floor smelled like Chinese food.,14/03/2023,10/02/2024
Ascott Raffles Place Singapore,Morag,United Kingdom,Cutler Suite,1.0,2023-03-01,Couple,Good base for a few days in Singapore,9.0,"Great amenities, in room and in pool area and living room","Having to fill in online form at check in. After long day of travel, connecting to hotel WiFi to fill in form when tired felt long winded. Haven't had to do this before at a hotel.",14/03/2023,10/02/2024
Ascott Raffles Place Singapore,Cheung,Hong Kong,Brown Suite,6.0,2023-03-01,Couple,Fair,7.0,Location,Cleanliness of the room and the properties,13/03/2023,10/02/2024
Ascott Raffles Place Singapore,Deborah,United States,Collyer Suite,4.0,2023-01-01,Couple,Great Hotel with a great location right across from the MRT station,9.0,We loved the Ascott Raffles.  It was our first time in Singapore so we wanted a downtown location that was walkable to Marina Bay and also close to public transportation.  It was perfect.  The apartment like room was large and comfortable with excellent in-room coffee plus a great espresso machine in the lobby. The bed was very comfortable and the staff was very friendly.  We were there during the Chinese New Year and we were treated to a surprise performance followed by a reception in the lobby for guests.  We loved being a part of it.,No complaints.  Everything was as expected,28/02/2023,10/02/2024
Ascott Raffles Place Singapore,Shannon,Australia,Cutler Suite,2.0,2023-02-01,Couple,Incredibly beautiful surroundings,9.0,"Apartment was outstanding , bathroom was luxurious and the amount of room was very large . The style was in keeping with a retro vintage incorporating the building . Pool was beautiful,but the less fit had a little trouble getting out of it",Dining room and bar not open on sundays,22/02/2023,10/02/2024
Ascott Raffles Place Singapore,Barry,United Kingdom,Cutler Suite,2.0,2022-12-01,Couple,perfect did what we needed from it,9.0,it was central very clean impeccable staff,the room and walk ways were looking very tired and could do with modernising ie a cheerful paint colour,13/01/2023,10/02/2024
Ascott Raffles Place Singapore,Muhammad,Singapore,Cutler Suite,1.0,2022-12-01,Family,Ended the year with a fun stay at Ascott!,8.0,"Location, spacious room with amneties.",The toilet floor has alot of stains and the room a little dusty. But overall the stay was good and comfortable.,31/12/2022,10/02/2024
Ascott Raffles Place Singapore,George,Romania,Cutler Suite,2.0,2022-12-01,Couple,Good,7.0,"location is great … room is big, our room had a nice view","bed and pillows not comfortable, breakfast doesn’t worth the money paid …. expensive for what they offer.",26/12/2022,10/02/2024
Ascott Raffles Place Singapore,Joan,Australia,Cutler Suite,2.0,2022-10-01,Couple,"The end of a 6 week overseas trip, great place to rest before heading home.",8.0,Location and very helpful staff.,"The kitchen area, especially the benches and stove need to be upgraded, a bit stained and worn.",30/10/2022,10/02/2024
Ascott Raffles Place Singapore,Eliecer,United States,Cutler Suite,2.0,2022-10-01,Solo traveller,nice rooms and great location,9.0,location,pool was not working,17/10/2022,10/02/2024
Ascott Raffles Place Singapore,Daryl,Mauritius,Cutler Suite,3.0,2022-10-01,Group,"had a great time and as a group stay for a short while, the hotel is ideal…the staff are most hospitable and this made u",8.0,"very central, fantastic staff",breakfast was basically non-existent and had to be negotiated to obtain despite a hefty bill already for the room,13/10/2022,10/02/2024
Ascott Raffles Place Singapore,Dominic,Australia,Cutler Suite,5.0,2022-10-01,Group,Great location and rooms with friendly but unreliable service,7.0,Great location and rooms. Friendly staff.,"Unfortunately our rooms were not ready until several hours after check in time. While staff were friendly, most of our requests were answered by googling, and many were forgotten. It was F1 weekend so understand they were busy.",04/10/2022,10/02/2024
Ascott Raffles Place Singapore,John,United Kingdom,Cutler Suite,9.0,2022-10-01,Family,lived up to our expectations,8.0,close to EMT  and shops.,nothing,04/10/2022,10/02/2024
Ascott Raffles Place Singapore,Jackie,United Kingdom,Cutler Suite,3.0,2022-10-01,Couple,good location and facilities,8.0,good location and facilities,,04/10/2022,10/02/2024
Ascott Raffles Place Singapore,Sarah,Australia,Cutler Suite,8.0,2022-10-01,Couple,Great location.,7.0,Excellent location. Nice view out the window to the civic district. Washing machine/ dryer in room. Spacious room.Friendly staff,Hairdryer and dishwasher did not work. Started out with daily refills of nespresso capsules but they ran out / didn’t replace after 3 days. Some walls/paint doors etc starting to look a bit tired and marked.,04/10/2022,10/02/2024
Ascott Raffles Place Singapore,Mikko,United Arab Emirates,Cutler Suite,2.0,2022-10-01,Family,Superb,9.0,"Great location, big rooms with all the necessary comforts. Great service - they went above and beyond to make the stay smooth and comfortable.",,03/10/2022,10/02/2024
Ascott Raffles Place Singapore,Ravinder,India,Cutler Suite,3.0,2022-09-01,Family,Good and Enjoyed,9.0,Room and Location are excellent.,The cost of the room.,01/10/2022,10/02/2024
Ascott Raffles Place Singapore,Adebola,United Kingdom,Cutler Suite,3.0,2022-08-01,Group,Very good,8.0,"Staff were very friendly and helpful. The room was clean, with a large bed and good size bathroom. There was also a safety deposit box in the room. It is in an excellent location in the marina bay area so within walking distance to the main attractions along the bay.","I was disappointed by the airport transfer that I arranged with the hotel didn't show up. After waiting 50 minutes, I called the hotel who informed me that my request couldn't be fulfilled. It would have been appreciated if the hotel informed me ahead of my arrival instead of me having to call them. The bedsheet was slightly dirty however this was changed quickly when we made staff aware.",16/09/2022,10/02/2024
Ascott Raffles Place Singapore,Hannah,United Kingdom,Cutler Suite,1.0,2022-08-01,Family,Great location and very cool pool,7.0,"We loved the pool and the central location which was perfect for exploring Singapore. As stated in previous reviews, the room was a bit dated however it was clean, the bed was huge and very comfortable.",,19/08/2022,10/02/2024
Ascott Raffles Place Singapore,Patricia,Ireland,Cutler Suite,2.0,2022-08-01,Family,historic building in perfect location with spacious room,9.0,"spacious room with well equipped kitchen, fantastic location, good pool and very very friendly staff",nothing,18/08/2022,10/02/2024
Ascott Raffles Place Singapore,Nicholas,United Kingdom,Cutler Suite,2.0,2022-07-01,Family,Good,7.0,The bathroom was impressive.,The rooms were a little 'tired'. They needed better and brighter lighting.,02/08/2022,10/02/2024
Ascott Raffles Place Singapore,Steve,United Kingdom,Cutler Suite,3.0,2022-07-01,Family,would stay here again,8.0,we liked it as it was close to where we wanted to be short bus ride or walk to the local attractions pool was good to go for a little swim to cool off,noise from washing machine room above around 11:30pm had noise echo through the room for a hour from a washing machine every night on our 3 night stay,27/07/2022,10/02/2024
Ascott Raffles Place Singapore,Kally,United Kingdom,Cutler Suite,4.0,2022-06-01,Couple,average,7.0,location,the room was very dark all the time so didn’t enjoy being in it,22/07/2022,10/02/2024
Ascott Raffles Place Singapore,Claire,Australia,Cutler Suite,4.0,2022-07-01,Couple,This hotel was a convenient and comfortable place.,8.0,the room and location,"the pool was cold, there was no where to sit around it.",16/07/2022,10/02/2024
Ascott Raffles Place Singapore,Siti,Singapore,Cutler Suite,2.0,2022-06-01,Solo traveller,very comfortable stay since everything is conveniently either provided for you or are near you for access.,8.0,the room space is bigger than the average hotel room size in the area and the amenities found within the room are wonderful for quick cooking of meals.,the room feels  very dated with chipped walls and peeling paint. there are moments where I am wary of things falling apart due to the old nature of the rooms.,12/07/2022,10/02/2024
Ascott Raffles Place Singapore,Inspire000,Australia,Collyer Suite,3.0,2022-06-01,Family,Perfect retreat for a 3 day break,9.0,"Location was perfect, walking distance to Marina Bay and Gardens by the Bay. Local hawker style eatery just down the road which was very cheap and good food. Hotel itself was perfect for a 3 day stay. Staff were very courteous and friendly. Room itself was a good size and able to separate living from sleeping. Meaning we could put my son to sleep and still hang out in the other room.",Nit picking but the plug point for the TV next to the power point was hanging out of the socket. Pushed it back in the socket no issue.,11/07/2022,10/02/2024
Ascott Raffles Place Singapore,Janet,Indonesia,Cutler Suite,10.0,2022-05-01,Family,great for family and long stay. the room is spacious and very near to an mrt station.,8.0,the location is great. love the kitchen and the washing machine!,they don’t clean on Sunday,09/07/2022,10/02/2024
Ascott Raffles Place Singapore,Wong,Indonesia,Cutler Suite,7.0,2022-06-01,Family,Very good,8.0,The room is very spacious as i have the 48m2 room size.,The announcement for the fire alarm is was too loud. And quite annoying as it also happened in the middle of the night.,03/07/2022,10/02/2024
Ascott Raffles Place Singapore,Gavin,Singapore,Cutler Suite,1.0,2022-04-01,Couple,Great!,8.0,Good service and attitude from the staff. The overall room was fantastic.,-,20/06/2022,10/02/2024
Ascott Raffles Place Singapore,Priyan,United Kingdom,Brown Suite,7.0,2022-06-01,Family,"great location, comfortable and ideally for a family.",8.0,"clean, modern and well located.","bedrooms could be a bit warmer in decor, roomscould do with better lighting.",19/06/2022,10/02/2024
Ascott Raffles Place Singapore,Kenna,Singapore,Cutler Suite,2.0,2022-06-01,Solo traveller,execellent stay in a central location with some limited food choices in the late night,8.0,"essentials were available, location is near MRT and buses to get to various locations","some of the socket covers were dropping off, along with the button for the bathtub where it stops the drainage.the tap in the bathroom basin was faulty  whereby water kept leaking",11/06/2022,10/02/2024
Ascott Raffles Place Singapore,Michelle,Australia,Cutler Suite,3.0,2022-05-01,Couple,"Excellent clean rooms, great location to Raffles Place MRT station, hawker center Lau Pa Sat & MBS",9.0,"Location, close to Raffles Place MRT station and eateries such as Lau Pa Sat. We stayed in the Cutler Suite room and amenities was superb",Only minor thing was housekeeper took away our washed cups and didn't replace them.,01/06/2022,10/02/2024
